epoch,accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
0,0.8413978219032288,0.5438608527183533,0.9157652854919434,0.9274755716323853,0.23904256522655487,0.9734532833099365
1,0.9444444179534912,0.17387017607688904,0.9842718839645386,0.9037656784057617,0.31389734148979187,0.9618352651596069
2,0.958184003829956,0.12165313214063644,0.9909511804580688,0.9372385144233704,0.24262240529060364,0.9739559292793274
3,0.979092001914978,0.06199042126536369,0.9974948167800903,0.9149233102798462,0.3062096834182739,0.9672482013702393
4,0.9865591526031494,0.042726412415504456,0.9989502429962158,0.9302650094032288,0.28060901165008545,0.9724956750869751
5,0.9919354915618896,0.024073051288723946,0.9992281198501587,0.9386332035064697,0.25078046321868896,0.9717145562171936
6,0.9973118305206299,0.013233065605163574,0.9999275207519531,0.9372385144233704,0.24570238590240479,0.9730612635612488
7,0.9985065460205078,0.009181812405586243,0.9999726414680481,0.9470013976097107,0.23551400005817413,0.9758674502372742
8,0.9985065460205078,0.006714386399835348,0.9999623894691467,0.9358437657356262,0.2786619961261749,0.97014319896698
9,0.9967144727706909,0.00939489621669054,0.9999539852142334,0.9302650094032288,0.3295663893222809,0.9645659923553467
10,0.9952210187911987,0.01630195789039135,0.9997866749763489,0.9288703203201294,0.3235592246055603,0.958152174949646
11,0.9862604737281799,0.03961928188800812,0.9985023140907288,0.8884239792823792,0.49426206946372986,0.9361013174057007
12,0.9752090573310852,0.07785026729106903,0.9950302243232727,0.9260808825492859,0.34628766775131226,0.9618595838546753
13,0.9799880385398865,0.06791533529758453,0.9943326115608215,0.9358437657356262,0.32934579253196716,0.9659935832023621
14,0.9835723042488098,0.050107065588235855,0.9982409477233887,0.9288703203201294,0.3466693162918091,0.9625300168991089
15,0.9952210187911987,0.015509300865232944,0.9996537566184998,0.9414225816726685,0.3278811573982239,0.9591561555862427
16,0.999402642250061,0.004481686279177666,0.9994844198226929,0.9428172707557678,0.30769068002700806,0.9633263349533081
17,0.999402642250061,0.005421855486929417,0.999484658241272,0.9428172707557678,0.2992301881313324,0.9646359086036682
18,0.9988052845001221,0.004692793358117342,0.9994855523109436,0.944212019443512,0.2904883027076721,0.9680287837982178
19,0.9991039633750916,0.0036012697964906693,0.9994925856590271,0.9414225816726685,0.33499446511268616,0.9581518173217773
20,0.9973118305206299,0.008832995779812336,0.9989742040634155,0.9260808825492859,0.4337906539440155,0.9517567157745361
21,0.9985065460205078,0.003930496983230114,0.9994872808456421,0.944212019443512,0.3319454491138458,0.9615069627761841
22,0.9991039633750916,0.0059875259175896645,0.9989848732948303,0.9456067085266113,0.329848051071167,0.961763322353363
23,0.9964157938957214,0.009413700550794601,0.9999440312385559,0.9428172707557678,0.31706854701042175,0.9638702869415283
24,0.9991039633750916,0.002034007338806987,0.9999985098838806,0.9456067085266113,0.320281445980072,0.9607473611831665
25,0.9985065460205078,0.0038505017291754484,0.9999942779541016,0.944212019443512,0.3563419580459595,0.9562751650810242
26,1.0,0.0006881997105665505,1.0,0.9470013976097107,0.3448916971683502,0.9620301723480225
27,1.0,0.00025244627613574266,0.9999999403953552,0.9497907757759094,0.33545202016830444,0.9623826146125793
28,1.0,0.0001179418177343905,1.0,0.9483960866928101,0.3369210660457611,0.9624651074409485
29,1.0,0.00010395643766969442,1.0,0.9497907757759094,0.33808740973472595,0.9625370502471924
30,1.0,0.00010593614570097998,1.0,0.9511855244636536,0.34287312626838684,0.9624579548835754
31,1.0,0.00016990986478049308,1.0,0.9470013976097107,0.34146440029144287,0.9609265327453613
32,0.999402642250061,0.004958495497703552,0.9994966387748718,0.9511855244636536,0.3476354777812958,0.962422788143158
33,0.999402642250061,0.0015230829594656825,0.9999994039535522,0.944212019443512,0.348711222410202,0.9592686891555786
34,0.9910394549369812,0.03828377276659012,0.9961962699890137,0.8856346011161804,0.713622510433197,0.9148598909378052
35,0.939068078994751,0.27480533719062805,0.9666152000427246,0.9107391834259033,0.6267673969268799,0.9299638867378235
36,0.9722222089767456,0.11597087234258652,0.9881935119628906,0.9260808825492859,0.3901243805885315,0.9591907262802124
37,0.9904420375823975,0.021546846255660057,0.9997385144233704,0.9386332035064697,0.34189045429229736,0.9682978391647339
38,0.9982078671455383,0.006784962490200996,0.9999711513519287,0.9386332035064697,0.3214528560638428,0.9621607065200806
39,0.999402642250061,0.002463309792801738,0.999992847442627,0.9414225816726685,0.33844760060310364,0.966590404510498
40,0.9997013211250305,0.0008000610978342593,0.9999998807907104,0.9428172707557678,0.33884474635124207,0.9651941061019897
41,0.9997013211250305,0.0015243443194776773,0.9999987483024597,0.944212019443512,0.3214694559574127,0.9699887633323669
42,0.9997013211250305,0.0019492394058033824,0.9997953176498413,0.944212019443512,0.32996243238449097,0.9660965800285339
43,0.9997013211250305,0.001641681301407516,0.9999973177909851,0.944212019443512,0.326310396194458,0.9692282676696777
44,0.999402642250061,0.0015108475927263498,0.9999992251396179,0.944212019443512,0.3288738429546356,0.9664527177810669
45,1.0,0.00020323334319982678,0.9999999403953552,0.944212019443512,0.332693487405777,0.9663670063018799
46,1.0,0.00016103788220789284,1.0,0.944212019443512,0.3333887755870819,0.9665462374687195
47,1.0,0.00014057316002435982,1.0,0.944212019443512,0.33577215671539307,0.9651886224746704
48,1.0,0.00014234677655622363,1.0,0.9428172707557678,0.33721256256103516,0.9652471542358398
49,1.0,0.0001261654106201604,0.9999999403953552,0.944212019443512,0.3405742645263672,0.9609728455543518
